,language,n,time
1,Haskell,19000000,0.7694370746612549
2,JS-Imp,19000000,2.422776937484741
3,JS-Fun,19000000,8.788919448852539
4,Haskell,400000000,9.534117460250854
5,JS-Imp,400000000,24.94068431854248
6,JS-Fun,400000000,33.46613430976868
7,Haskell,600000000,40.64838981628418
8,JS-Imp,600000000,54.394346475601196
9,JS-Fun,600000000,55.924362897872925
